Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Temperature < ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
46,0.565893479,0.572669113,0.57899492,0.586213099,0.591615666,0.596131473,0.603961791,0.609251999,0.615230455,0.622855327,0.629586042,0.63446409,0.639829877,0.647761378,0.655562304,0.661575713,0.667055516,0.673956293,0.680437619,0.687504911,0.694739585,0.701167883,0.708783158,0.715603337,0.722632601,0.729551368,0.737405051,0.746172271,0.751098709,0.758419732,0.765203888
47,0.581471712,0.588288277,0.594618267,0.601818711,0.607290371,0.611828659,0.619658041,0.624939477,0.630939754,0.638537876,0.64524434,0.65017049,0.655561915,0.663464563,0.671177948,0.677147867,0.68265734,0.689508606,0.695899525,0.70293956,0.710118912,0.716447381,0.724005706,0.730723149,0.737640447,0.744458795,0.752158409,0.760698031,0.76558148,0.77275746,0.779384208
48,0.596805257,0.603651245,0.609975,0.617146224,0.622676809,0.627229566,0.635044468,0.640308197,0.646319315,0.653877564,0.660547998,0.665512081,0.670918155,0.678777249,0.68639055,0.692306071,0.697832854,0.704621709,0.710911851,0.717910192,0.725020488,0.731238369,0.73872393,0.745327389,0.752119736,0.758824788,0.766357899,0.774659817,0.779487857,0.786506762,0.792966192
49,0.611879539,0.61874355,0.6250509,0.632181804,0.637761089,0.642320407,0.650107639,0.655345001,0.661356167,0.66886189,0.675484942,0.680476829,0.685886739,0.693688105,0.701189555,0.707040284,0.712572227,0.719286385,0.725466131,0.732408908,0.739437103,0.745534474,0.752932253,0.759411358,0.766066794,0.772646628,0.780002028,0.788057643,0.79281858,0.799669613,0.805953006
50,0.626681124,0.633551914,0.639832973,0.646912873,0.652530622,0.657088733,0.664835504,0.670038143,0.676038796,0.683479847,0.690044634,0.69505429,0.700457447,0.708187487,0.715566122,0.721342214,0.726867434,0.73349527,0.739555767,0.746429732,0.753363512,0.75933131,0.766627144,0.772972414,0.779480031,0.78592371,0.793091422,0.800893601,0.805576523,0.812250117,0.818349941
51,0.641197721,0.648064243,0.654309438,0.661328097,0.666974113,0.671523416,0.679217377,0.684377272,0.690357121,0.6977219,0.704218038,0.709235569,0.714621655,0.722267399,0.729513078,0.735205264,0.740712204,0.747242784,0.753175959,0.759968535,0.766796355,0.77262638,0.77980701,0.786009866,0.792359825,0.798657415,0.805628689,0.813171718,0.817766533,0.824254347,0.830164231
52,0.655418175,0.662269617,0.668469719,0.675417371,0.681081542,0.685614633,0.693243917,0.698353398,0.704302468,0.71157995,0.717997586,0.723013288,0.728372299,0.73592144,0.743024855,0.748624467,0.754101951,0.760525063,0.766323624,0.773022947,0.779734062,0.785418985,0.792472093,0.798524858,0.804708399,0.81085098,0.81761828,0.82489781,0.829395279,0.835690178,0.841404889
53,0.669332455,0.67615828,0.682304431,0.689171801,0.694844146,0.699353841,0.706907099,0.711958872,0.717867529,0.7250473,0.731377135,0.73638153,0.74170382,0.749144754,0.756097437,0.761596427,0.767033705,0.773339882,0.77899732,0.785592277,0.79217676,0.797710122,0.80462436,0.810520256,0.816529695,0.822509369,0.829066349,0.836079335,0.840471093,0.846567123,0.852082527
54,0.682931639,0.689721621,0.695805354,0.702583682,0.708254388,0.712733751,0.72020018,0.725187342,0.731046334,0.738118607,0.744351918,0.7493358,0.75461211,0.761933967,0.768728291,0.774119246,0.779506037,0.785686576,0.791197158,0.797677412,0.804126175,0.809502375,0.81626739,0.822000528,0.827829253,0.833639133,0.839980611,0.846725244,0.851003814,0.856896167,0.862209193
55,0.696207901,0.702952154,0.708965417,0.715646469,0.721305931,0.725748293,0.733117666,0.738033722,0.743834201,0.750789838,0.756918497,0.761872966,0.767094461,0.774287124,0.780916302,0.786192453,0.791518983,0.797565953,0.802924714,0.809280729,0.81558553,0.820799815,0.827406259,0.832971623,0.838614074,0.844248278,0.850370198,0.856845835,0.861004632,0.866689608,0.871798195
