1,9.35808E-08,1.43856E-07,1.0328E-07,2.10657E-07,8.96864E-08,6.35733E-08,4.5843E-08,9.09767E-08,7.3566E-08,2.85489E-08,1.41041E-07,7.70575E-08,1.14512E-07,2.27706E-08,8.09572E-08,2.10157E-07,1.31734E-07,4.83478E-08,8.35477E-08,2.9643E-07,6.86491E-07,1.40086E-07,1.57334E-07,2.30606E-07,3.38619E-07,5.60987E-07,4.09353E-07,4.35643E-07,2.01507E-07,1.10747E-06,8.18598E-07
30,0.001358701,0.001677521,0.001523567,0.002290359,0.001588099,0.001415863,0.001293761,0.001878383,0.001748688,0.001159054,0.002650103,0.00205382,0.002641444,0.001259322,0.002415265,0.003843089,0.003160154,0.00211221,0.002823354,0.005260734,0.007761356,0.003989944,0.004418194,0.005392136,0.006713784,0.008419834,0.007703467,0.008129819,0.005940198,0.01253756,0.011464622
31,0.001490123,0.001835875,0.00167118,0.002504809,0.001745025,0.001559223,0.00142802,0.002067023,0.001926926,0.001283832,0.002913496,0.002265624,0.002909717,0.001399048,0.002667192,0.004223722,0.003482339,0.002341143,0.003121529,0.005779744,0.008489289,0.004403825,0.004875735,0.005939798,0.007383522,0.00923434,0.008467307,0.008935044,0.006557943,0.013710836,0.012563649
32,0.001629463,0.002003417,0.001827707,0.002731538,0.001911716,0.001711837,0.001571267,0.002267685,0.00211678,0.001417424,0.003193406,0.002491468,0.003195365,0.001549081,0.002936095,0.004628073,0.0038255,0.002586394,0.003440158,0.00633086,0.009258797,0.004845331,0.005363728,0.006522844,0.008095332,0.010097606,0.009278653,0.009790244,0.007217,0.014950587,0.013727374
33,0.001776926,0.002180364,0.001993381,0.002970828,0.002088441,0.001873981,0.001723793,0.00248072,0.002318604,0.001560148,0.003490294,0.002731795,0.003498911,0.001709822,0.003222527,0.005056793,0.004190272,0.002848554,0.003779929,0.006914943,0.01007079,0.005315335,0.005883128,0.007142315,0.008850369,0.01101082,0.01013877,0.010696743,0.007918667,0.016258183,0.014957276
34,0.001932717,0.002366935,0.002168433,0.003222958,0.002275472,0.002045934,0.001885888,0.002706478,0.002532751,0.001712319,0.003804623,0.002987047,0.003820873,0.001881672,0.003527039,0.005510527,0.004577286,0.003128218,0.004141528,0.007532846,0.010926162,0.005814709,0.006434888,0.007799241,0.009649773,0.01197515,0.011048912,0.011655847,0.008664233,0.01763496,0.016254806
35,0.002097037,0.002563341,0.00235309,0.003488203,0.002473075,0.00222797,0.002057842,0.002945306,0.002759575,0.001874256,0.004136849,0.003257666,0.004161768,0.002065037,0.003850181,0.005989916,0.004987172,0.003425979,0.004525642,0.008185409,0.011825788,0.006344318,0.007019953,0.008494645,0.010494674,0.012991746,0.01201031,0.012668842,0.00945498,0.019082217,0.017621378
36,0.002270088,0.002769796,0.002547581,0.003766835,0.002681518,0.002420365,0.002239945,0.003197549,0.002999427,0.002046276,0.004487427,0.00354409,0.00452211,0.002260321,0.004192502,0.006495596,0.005420552,0.003742432,0.004932955,0.008873467,0.012770527,0.006905026,0.007639264,0.009229541,0.011386186,0.014061734,0.013024183,0.013736996,0.01029218,0.020601219,0.019058376
37,0.00245207,0.00298651,0.002752131,0.004059124,0.002901065,0.002623392,0.002432485,0.003463552,0.003252656,0.002228698,0.004856807,0.003846757,0.004902411,0.002467933,0.00455455,0.007028196,0.005878049,0.004078175,0.00536415,0.009597843,0.013761223,0.00749769,0.008293757,0.010004934,0.012325411,0.015186225,0.014091729,0.014861557,0.011177092,0.022193192,0.020567149
38,0.002643179,0.003213691,0.002966963,0.004365336,0.00313198,0.002837324,0.002635751,0.003743657,0.003519612,0.002421842,0.005245437,0.004166106,0.005303179,0.002688282,0.00493687,0.00758834,0.006360281,0.004433801,0.005819908,0.010359352,0.014798701,0.008123163,0.00898436,0.010821819,0.013313435,0.016366306,0.015214128,0.016043753,0.01211097,0.023859327,0.022149013
39,0.002843614,0.003451544,0.0031923,0.004685735,0.003374525,0.003062434,0.002850032,0.004038203,0.003800642,0.002626027,0.005653763,0.00450257,0.005724922,0.002921779,0.005340007,0.008176645,0.006867863,0.00480991,0.00630091,0.011158797,0.015883769,0.008782293,0.009711998,0.011681181,0.014351329,0.017603041,0.016392541,0.017284791,0.013095051,0.025600775,0.023805246
40,0.003053569,0.003700274,0.003428363,0.005020581,0.00362896,0.003298992,0.003075615,0.004347531,0.004096092,0.002841574,0.006082226,0.004856585,0.006168141,0.003168836,0.005764504,0.008793725,0.007401403,0.005207096,0.006807832,0.011996974,0.017017217,0.009475923,0.010477585,0.012583996,0.015440149,0.018897477,0.01762811,0.018585856,0.014130563,0.027418649,0.025537092
