Design temperature <,40 deg C ambient temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design life =~ ,10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equation= ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg,,,,,,,,,,,,,,
shape parameter = ,1.6977,1.7071,1.7193,1.6958,1.7406,1.7395,1.7249,1.7129,1.7043,1.7285,1.6891,1.6895,1.711,1.7114,1.7098,1.7081,1.7191,1.70,1.7314,1.7466,1.7184,1.7203,1.733,1.715,1.7182,1.7336,1.7129,1.6827,1.748,1.6847,1.7115,,,,,,,,,,,,,,
scale parameter = ,66.623,62.218,58.22,54.722,50.639,47.583,44.046,41.009,38.017,35.769,33.174,31.393,28.975,27.156,25.311,23.512,22.3,20.86,19.383,18.084,16.892,15.776,14.668,13.759,12.787,11.873,11.017,10.303,9.6121,8.959,8.4064,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
32,0.250205521,0.274867704,0.300485006,0.331410921,0.362256067,0.394385454,0.438033853,0.479954382,0.525521923,0.56173278,0.609745325,0.644021409,0.694313175,0.734018508,0.775354493,0.816026034,0.844407028,0.874337543,0.907651665,0.93343624,0.950103249,0.965814224,0.979028614,0.985772971,0.992062358,0.996219467,0.99799448,0.99880892,0.999721286,0.999804497,0.999947441,,,,,,,,,,,,,,
33,0.261695645,0.287329269,0.31393571,0.345675177,0.377846307,0.410857724,0.455414127,0.498035664,0.544191486,0.58104475,0.628852815,0.663111545,0.713285093,0.752399877,0.792764427,0.832089624,0.859364213,0.887614001,0.918938548,0.942685913,0.957598986,0.971546129,0.983029502,0.988701258,0.993895414,0.997215054,0.998567098,0.99916719,0.999822698,0.999875888,0.999969152,,,,,,,,,,,,,,
34,0.273249566,0.299839624,0.327415633,0.359929342,0.393396301,0.427240041,0.472625005,0.515862604,0.562505496,0.599908445,0.64739852,0.681548786,0.731454594,0.769870392,0.809160135,0.847054045,0.873166308,0.899729511,0.929053534,0.95081893,0.964097543,0.976412699,0.986332251,0.991072011,0.995332206,0.997962506,0.998983711,0.999422033,0.999888375,0.999921957,0.999982103,,,,,,,,,,,,,,
35,0.2848566,0.312386353,0.340910428,0.374158078,0.408887245,0.443512026,0.489645295,0.533414102,0.580443976,0.618303867,0.665368943,0.699323915,0.748820443,0.786438897,0.82456401,0.860958248,0.885866165,0.910752201,0.93808607,0.957941011,0.969707923,0.980525301,0.989044033,0.992980545,0.996451222,0.998519475,0.999284424,0.999601855,0.999930443,0.999951387,0.999989736,,,,,,,,,,,,,,
36,0.296506361,0.324957427,0.354406239,0.388346691,0.424301197,0.459654402,0.506455265,0.550670887,0.597989223,0.636213849,0.682753673,0.71643113,0.765385432,0.802118394,0.839002398,0.873844431,0.897519094,0.920750923,0.9461238,0.96415284,0.974531494,0.983984779,0.99125879,0.994508421,0.997317263,0.998931444,0.999499782,0.999727735,0.999957098,0.99997,0.99999418,,,,,,,,,,,,,,
37,0.308188759,0.337541197,0.36788971,0.402481125,0.439621078,0.475648994,0.523036618,0.567615481,0.615125736,0.653623941,0.699545201,0.732867809,0.781156015,0.816925561,0.852504984,0.885757285,0.908182012,0.929794399,0.953251688,0.969549378,0.978661716,0.986881674,0.993058157,0.99572484,0.997983358,0.99923394,0.999652822,0.999815166,0.999973805,0.999981658,0.999996738,,,,,,,,,,,,,,
38,0.319894002,0.350126401,0.381347977,0.416547963,0.45483067,0.491478715,0.539372469,0.584232145,0.631840132,0.670522293,0.715738744,0.748634265,0.796141948,0.830880293,0.865104212,0.896743315,0.917912678,0.937950485,0.959551315,0.974219393,0.982184058,0.989296636,0.994512493,0.996688036,0.998492526,0.99945445,0.999760746,0.999875423,0.999984167,0.999988888,0.999998191,,,,,,,,,,,,,,
39,0.331612594,0.36270216,0.394768675,0.430534414,0.469914614,0.507127562,0.555447325,0.600506834,0.648121059,0.686899526,0.731332059,0.763733511,0.810355939,0.844005255,0.876834742,0.906850211,0.92676901,0.945285547,0.965100344,0.978245185,0.985176094,0.991300963,0.99568196,0.997446636,0.998879377,0.99961405,0.999836279,0.999916634,0.999990525,0.999993329,0.999999009,,,,,,,,,,,,,,
40,0.343335335,0.375257979,0.408139932,0.444428316,0.484858405,0.522580604,0.571247047,0.616427143,0.663959113,0.702748611,0.746325265,0.778171027,0.823813311,0.856325455,0.887732945,0.916126292,0.9348085,0.95186395,0.969972121,0.981702475,0.987707734,0.992957232,0.996617613,0.998040932,0.999171533,0.999728747,0.999888747,0.999944606,0.999994386,0.999996031,0.999999462,,,,,,,,,,,,,,
41,0.355053316,0.387783743,0.421450371,0.458218122,0.499648384,0.537823962,0.586758823,0.63198225,0.679346742,0.718064738,0.76072066,0.791954535,0.83653167,0.867867849,0.897836436,0.924620003,0.942087697,0.957747639,0.974235415,0.984660433,0.989841554,0.994319995,0.997362465,0.998504071,0.999390864,0.999810599,0.999924924,0.999963451,0.999996706,0.99999766,0.999999712,,,,,,,,,,,,,,
