Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Temperature < ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
shape parameter = ,1.9944,1.9965,1.9954,1.9844,1.9918,1.9878,1.9907,1.9859,1.9831,1.987,1.9854,1.9867,1.9878,1.999,1.9868,1.9904,1.9954,1.9962,1.9889,1.9919,1.9901,1.988,1.9944,1.9866,1.9931,1.9982,1.9938,1.973,1.9913,1.9834,1.9797
scale parameter = ,49.398,48.818,48.342,47.775,47.39,46.936,46.417,46.021,45.478,45.105,44.589,44.194,43.666,43.387,42.775,42.412,41.969,41.496,41.051,40.581,40.131,39.684,39.188,38.741,38.269,37.918,37.409,36.713,36.519,35.877,35.476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
33,0.360642226,0.367184205,0.37300162,0.381142727,0.385129549,0.391317005,0.397730958,0.403453229,0.411038305,0.415767225,0.42313652,0.428643883,0.436220906,0.439353869,0.449661169,0.454946436,0.461486876,0.468995663,0.476798092,0.484379378,0.492114707,0.499946339,0.50826041,0.516712066,0.524957314,0.531214459,0.541033205,0.555269192,0.558370484,0.57139692,0.579602921
34,0.377947635,0.384719616,0.390711584,0.399004461,0.403179745,0.409514386,0.416142062,0.421981947,0.429750506,0.434644775,0.442193278,0.447854959,0.455632337,0.458952941,0.469383105,0.474825115,0.481561191,0.489238667,0.49712554,0.504885754,0.51274606,0.520693581,0.529213406,0.537713718,0.546147738,0.552544467,0.562438573,0.576603167,0.579933188,0.592984224,0.601206906
35,0.395277355,0.40226895,0.40842514,0.416852622,0.421210786,0.427680088,0.434509715,0.440454884,0.448390963,0.453441423,0.461153098,0.466957228,0.474918079,0.478420621,0.48894785,0.494534223,0.501450238,0.509277449,0.517228192,0.52514745,0.533111839,0.541153723,0.54985576,0.558380826,0.56697903,0.573496157,0.583436209,0.597488636,0.601034417,0.614070027,0.622283715
36,0.41260281,0.419802854,0.426112411,0.434657149,0.439191822,0.445782914,0.452801972,0.458839879,0.466927054,0.472123917,0.47998225,0.48591646,0.494043286,0.497721071,0.50831974,0.51403752,0.521117037,0.529074578,0.537068804,0.545126687,0.553174143,0.561288819,0.570148847,0.578675302,0.587412539,0.594030471,0.603987551,0.61788919,0.621636323,0.634617786,0.642797634
37,0.429896246,0.437292867,0.443744472,0.452389023,0.45709309,0.463792829,0.470988124,0.477106084,0.485327559,0.490660476,0.498648576,0.504700078,0.512974873,0.516820285,0.527465082,0.533300832,0.5405268,0.548594937,0.556612568,0.56478827,0.572897796,0.581063791,0.590057097,0.598562248,0.607413004,0.614111905,0.62405778,0.637772341,0.641705168,0.654595308,0.662717457
38,0.447130803,0.454711488,0.461293425,0.470020334,0.474885986,0.481681024,0.489038778,0.495224025,0.503562731,0.509020858,0.51712156,0.523277224,0.531681591,0.535686161,0.54635222,0.552292115,0.559646986,0.567805798,0.575827169,0.584099645,0.592250392,0.600446464,0.609548037,0.618009985,0.626948584,0.633708529,0.643615825,0.657109495,0.66121131,0.673974705,0.682016423
39,0.464280571,0.472032238,0.478732453,0.487524336,0.492543125,0.499419983,0.506925907,0.513165665,0.521604353,0.527176423,0.53537238,0.541618821,0.550134081,0.554288568,0.564951589,0.570981509,0.578447365,0.586676859,0.594682826,0.60303093,0.611202325,0.619407596,0.628592306,0.63699006,0.645990855,0.652791983,0.662634345,0.675875904,0.680129148,0.692732316,0.70067212
40,0.481320645,0.489229713,0.496035879,0.504875502,0.510038398,0.516983528,0.524622913,0.530904458,0.539425787,0.54510018,0.553373962,0.559697613,0.568304919,0.572599384,0.583235752,0.589341375,0.596900044,0.605180288,0.613152319,0.621554944,0.629726811,0.63792088,0.647163658,0.655477231,0.664514788,0.671337449,0.681089681,0.694050588,0.698437052,0.710848608,0.718666367
41,0.498227174,0.506279638,0.513179215,0.522049567,0.527347015,0.534346871,0.542104667,0.548415384,0.557002015,0.56276683,0.571101014,0.577488207,0.586168648,0.590592542,0.601179425,0.607346319,0.614979497,0.623290733,0.631210993,0.639647203,0.647799871,0.655962933,0.665238941,0.673449437,0.682498709,0.689323597,0.698961792,0.711616244,0.716117264,0.728308049,0.735985069
42,0.514977401,0.523158903,0.530139205,0.539023566,0.544445549,0.551486645,0.559347547,0.565674991,0.574309667,0.580152792,0.588530052,0.594967095,0.603701802,0.608244048,0.618759496,0.624973207,0.63266257,0.640985328,0.648836755,0.657285912,0.665400321,0.673513263,0.682798055,0.690887739,0.699924234,0.70673252,0.716234166,0.728559129,0.733155772,0.745098957,0.752618052
43,0.531549702,0.539845604,0.546893855,0.555775869,0.561311964,0.568380939,0.576329466,0.582661414,0.591327047,0.597236228,0.605639423,0.612112669,0.620882917,0.625531996,0.635955022,0.64220116,0.649928478,0.658243679,0.666010056,0.674451934,0.68250973,0.690554224,0.6998239,0.707776261,0.716776188,0.723549634,0.732893708,0.744868921,0.749542174,0.761213334,0.768558875
44,0.547923618,0.556319075,0.563422469,0.572286197,0.577925645,0.585009317,0.593029896,0.599354399,0.608034143,0.613997053,0.622409305,0.628905228,0.637692531,0.642436569,0.652747224,0.659011544,0.666758784,0.675047845,0.682713851,0.691128753,0.699112367,0.707070955,0.7163023,0.724102096,0.73304251,0.73976358,0.748930619,0.760538576,0.765269515,0.776646684,0.783804632
45,0.564079876,0.572559907,0.579705669,0.588535648,0.59426741,0.601352835,0.609429877,0.615735305,0.624412634,0.63041694,0.638821713,0.645326972,0.654113172,0.658940024,0.669119461,0.675387943,0.683137375,0.691382294,0.698933559,0.707302414,0.715195143,0.723051305,0.732221918,0.739855211,0.748714137,0.755366092,0.764338253,0.775564161,0.780334119,0.791397812,0.798355733
46,0.580000413,0.58854997,0.595725409,0.604506705,0.610319528,0.617394048,0.625512024,0.631787113,0.640445888,0.646479313,0.654860483,0.661361988,0.670129343,0.675026679,0.685057207,0.691316126,0.699050414,0.707233856,0.714657,0.722961459,0.730747528,0.738485745,0.747574156,0.755028336,0.76378488,0.770351863,0.779112965,0.789944682,0.794735397,0.805468612,0.812215685
47,0.59566839,0.604272426,0.611464987,0.620183243,0.626065717,0.633117009,0.641260526,0.647494415,0.656118948,0.662169338,0.67051126,0.676996229,0.685727491,0.690682879,0.700548004,0.706784003,0.714486293,0.722591667,0.729874327,0.738096846,0.745761465,0.753367271,0.762353045,0.769616839,0.778251286,0.784718396,0.793253944,0.803681899,0.808475651,0.818863856,0.825390853
48,0.611068196,0.619711734,0.626909052,0.635550523,0.641491148,0.648507269,0.656661138,0.662843404,0.671418518,0.677473895,0.685761465,0.692217482,0.700895971,0.705896955,0.715581417,0.721781566,0.729435568,0.737447094,0.744577951,0.752701866,0.760231272,0.767691292,0.776555122,0.783618597,0.792112492,0.798465847,0.806763039,0.816780137,0.821559877,0.831590962,0.837890227
49,0.626185457,0.634853649,0.642043598,0.650595193,0.656582432,0.66355186,0.671701161,0.677821853,0.686332938,0.692381557,0.700600267,0.707015332,0.715625003,0.720659181,0.730148973,0.73630083,0.743890895,0.751793657,0.75876245,0.766772039,0.774153536,0.781455518,0.790179298,0.79703385,0.805370069,0.811596852,0.819644578,0.829246088,0.833995545,0.843659772,0.849725178
50,0.641007032,0.649685223,0.656855957,0.66530527,0.67132761,0.678239278,0.686369426,0.692419093,0.70085215,0.706882554,0.71501854,0.721381116,0.729906616,0.734961715,0.744244103,0.750335763,0.757846943,0.765626947,0.772424476,0.780305016,0.787526999,0.794659833,0.803226726,0.809865059,0.818027861,0.82411636,0.831905183,0.841088617,0.845792394,0.855082317,0.860909222
51,0.655521007,0.664194793,0.67133479,0.679670126,0.685716132,0.692559463,0.700656264,0.706625976,0.714967663,0.720968729,0.729008814,0.735307869,0.743734594,0.748798539,0.757862064,0.763882207,0.771300319,0.778944525,0.785562652,0.793300462,0.800352435,0.807306168,0.815700653,0.822116755,0.83009182,0.836031455,0.843553577,0.852318558,0.856962213,0.86587259,0.871457773
52,0.669716684,0.678371964,0.685470068,0.693680462,0.699738832,0.706503767,0.71455347,0.720434842,0.728672511,0.734633494,0.74256523,0.748790272,0.757104411,0.762165388,0.770999866,0.776937796,0.78424947,0.791745829,0.798177471,0.805759947,0.812632529,0.819398361,0.827606275,0.83379538,0.841569836,0.847351173,0.854600398,0.862948516,0.867518628,0.87604632,0.881387916
53,0.683584566,0.692207596,0.699253048,0.707328285,0.713387897,0.72006492,0.72805427,0.733839476,0.741961204,0.74787178,0.755683473,0.761824585,0.770013161,0.775059678,0.783656188,0.789501867,0.796694588,0.804032068,0.810271177,0.817686818,0.824371745,0.830942029,0.838950589,0.844909131,0.852471567,0.858086323,0.865058,0.87299267,0.877476892,0.885620748,0.890718173
54,0.697116335,0.705693774,0.712676248,0.720606875,0.726656836,0.733236995,0.741153277,0.74683506,0.754829678,0.760679975,0.768360719,0.774408584,0.782459481,0.787480429,0.795831295,0.801575371,0.808637513,0.815806111,0.821847656,0.829086079,0.835576196,0.841944419,0.849742237,0.855467806,0.862808267,0.868249307,0.874940271,0.882466582,0.886853674,0.894614411,0.899468281
55,0.710304834,0.718823788,0.725733417,0.73351075,0.73954044,0.746015364,0.753846441,0.759418125,0.767275237,0.773055872,0.780595561,0.786541486,0.794443482,0.799428176,0.807526945,0.813160773,0.820081628,0.827072378,0.832912318,0.839964267,0.84625351,0.852414274,0.859991357,0.86548264,0.872592621,0.877853942,0.884262443,0.891387005,0.895666861,0.903046933,0.907658978
56,0.723144034,0.731592095,0.7384195,0.746035627,0.752034742,0.758396652,0.766131001,0.771586495,0.779296494,0.7849986,0.792387948,0.798223877,0.805966658,0.810904889,0.818746296,0.824261956,0.831031753,0.837836728,0.84347198,0.850329322,0.856412698,0.862361689,0.869709431,0.874966154,0.881838574,0.886915283,0.893040912,0.8997717,0.903935361,0.910938823,0.915311801
57,0.735629008,0.743994292,0.7507306,0.75817838,0.764136966,0.77037869,0.77800543,0.783339231,0.79089331,0.796508555,0.803739105,0.809457638,0.817031809,0.821913882,0.829493816,0.834884123,0.841494036,0.848106343,0.853534743,0.860190461,0.866064019,0.871797974,0.878909135,0.883932003,0.89056117,0.895449454,0.901293058,0.907639263,0.911678913,0.918311288,0.922448892
